UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rondônia,Masculino,42,Parda,9,3500,1.5566486259999999
Rondônia,Masculino,18,Parda,10,800,1.69346055
Rondônia,Masculino,41,Preta,5,800,1.720577135
Rondônia,Feminino,23,Parda,14,850,1.7936288459999998
Rondônia,Masculino,37,Parda,9,850,1.685051771
Rondônia,Feminino,47,Branca,17,788,1.8133933309999999
Rondônia,Masculino,19,Parda,9,1500,1.651605414
Rondônia,Masculino,35,Parda,9,1000,1.581273642
Rondônia,Masculino,33,Parda,12,1200,1.735513155
Rondônia,Feminino,34,Parda,10,800,1.6186228230000002
Rondônia,Masculino,36,Parda,6,2000,1.619677459
Rondônia,Feminino,38,Branca,8,1000,1.693734834
Rondônia,Feminino,33,Parda,16,2000,1.610727425
Rondônia,Masculino,58,Parda,1,800,1.6001003930000002
Rondônia,Feminino,46,Parda,9,788,1.800521066
Rondônia,Masculino,56,Parda,4,1300,1.6190590130000002
Rondônia,Masculino,34,Parda,12,2500,1.673185626
Rondônia,Masculino,28,Parda,6,1000,1.7998697380000002
Rondônia,Masculino,27,Parda,12,3500,1.680026871
Rondônia,Masculino,28,Parda,4,800,1.672872093
Rondônia,Masculino,22,Branca,9,788,1.7479334130000002
Rondônia,Masculino,44,Preta,9,1500,1.717878112
Rondônia,Masculino,32,Parda,9,1600,1.72177337
Rondônia,Masculino,36,Parda,8,1700,1.845530572
Rondônia,Masculino,39,Parda,7,2000,1.73888129
Rondônia,Masculino,45,Parda,16,1000,1.8367430130000002
Rondônia,Feminino,39,Preta,9,100,1.726598949
Rondônia,Feminino,21,Branca,9,788,1.7352205230000002
Rondônia,Masculino,26,Parda,12,1400,1.6381659380000002
Rondônia,Masculino,44,Parda,16,1200,1.717992835
Rondônia,Masculino,40,Parda,5,1500,1.49861126
Rondônia,Masculino,57,Branca,5,1300,1.680255885
Rondônia,Masculino,40,Preta,8,600,1.6513682090000001
Rondônia,Masculino,41,Parda,6,900,1.7277581130000002
Rondônia,Masculino,44,Branca,4,1200,1.6551479869999999
