UF,Sexo,Idade,Cor,Anos de Estudo,Renda,Altura
Rio de Janeiro,Masculino,35,Preta,12,1600,1.603182441
Rio de Janeiro,Masculino,46,Parda,12,1200,1.789003352
Rio de Janeiro,Feminino,30,Branca,13,900,1.720394885
Rio de Janeiro,Masculino,54,Preta,16,1800,1.7848452559999999
Rio de Janeiro,Masculino,44,Parda,12,1800,1.736339041
Rio de Janeiro,Masculino,31,Parda,6,3000,1.737086907
Rio de Janeiro,Feminino,56,Parda,5,300,1.724732608
Rio de Janeiro,Masculino,55,Preta,9,789,1.599919191
Rio de Janeiro,Feminino,45,Preta,4,400,1.7507213369999999
Rio de Janeiro,Feminino,42,Branca,15,830,1.644043607
Rio de Janeiro,Masculino,54,Branca,9,1500,1.7362614180000002
Rio de Janeiro,Feminino,52,Parda,11,500,1.6698827859999998
Rio de Janeiro,Feminino,45,Branca,5,250,1.7418088219999999
Rio de Janeiro,Feminino,50,Parda,9,788,1.7550578319999999
Rio de Janeiro,Masculino,55,Parda,16,3600,1.699361145
Rio de Janeiro,Feminino,47,Preta,4,600,1.75217236
Rio de Janeiro,Feminino,42,Preta,9,380,1.598559277
Rio de Janeiro,Feminino,30,Branca,7,900,1.662972619
Rio de Janeiro,Masculino,40,Parda,12,1300,1.68174771
Rio de Janeiro,Masculino,40,Preta,8,1940,1.64785014
Rio de Janeiro,Feminino,29,Preta,12,1098,1.7936547390000002
Rio de Janeiro,Feminino,62,Preta,3,450,1.6482338019999998
Rio de Janeiro,Feminino,39,Branca,12,800,1.813697905
Rio de Janeiro,Masculino,47,Branca,12,1000,1.720400107
Rio de Janeiro,Feminino,52,Branca,5,788,1.7187477740000001
Rio de Janeiro,Masculino,55,Preta,5,788,1.6157666769999999
Rio de Janeiro,Masculino,30,Parda,15,1800,1.667565432
Rio de Janeiro,Masculino,51,Branca,6,2600,1.6797531669999999
Rio de Janeiro,Masculino,54,Branca,5,1322,1.568810477
Rio de Janeiro,Masculino,59,Preta,1,1500,1.576427166
Rio de Janeiro,Masculino,30,Preta,7,1300,1.70791408
Rio de Janeiro,Masculino,35,Preta,4,788,1.6716410990000001
Rio de Janeiro,Masculino,55,Preta,6,788,1.8316759280000001
Rio de Janeiro,Masculino,64,Branca,3,1100,1.49754504
Rio de Janeiro,Masculino,39,Branca,9,1800,1.6179491819999998
Rio de Janeiro,Masculino,65,Preta,3,788,1.7004738469999998
Rio de Janeiro,Masculino,30,Branca,6,788,1.654900452
Rio de Janeiro,Masculino,66,Branca,8,1900,1.639458047
Rio de Janeiro,Feminino,48,Preta,8,788,1.9078541519999999
Rio de Janeiro,Masculino,55,Branca,9,1900,1.701795051
Rio de Janeiro,Masculino,28,Parda,9,1400,1.733423098
Rio de Janeiro,Feminino,65,Parda,4,800,1.9327810319999998
Rio de Janeiro,Feminino,50,Preta,9,1000,1.7779082469999998
Rio de Janeiro,Masculino,51,Preta,12,1100,1.633451189
Rio de Janeiro,Feminino,27,Preta,10,1500,1.74588325
Rio de Janeiro,Masculino,58,Parda,12,788,1.710352413
Rio de Janeiro,Masculino,28,Parda,12,800,1.770812297
Rio de Janeiro,Masculino,40,Preta,12,1990,1.7275708719999998
Rio de Janeiro,Masculino,54,Preta,12,1800,1.685591308
Rio de Janeiro,Masculino,54,Preta,12,2300,1.680727378
Rio de Janeiro,Masculino,52,Parda,8,1600,1.657282589
Rio de Janeiro,Masculino,29,Preta,11,1300,1.6382477619999998
Rio de Janeiro,Masculino,52,Parda,13,1000,1.7092066330000002
Rio de Janeiro,Masculino,41,Branca,12,1500,1.742377689
Rio de Janeiro,Masculino,48,Branca,12,1800,1.726037632
Rio de Janeiro,Feminino,48,Preta,12,800,1.696666015
Rio de Janeiro,Feminino,49,Parda,13,750,1.6702489090000001
Rio de Janeiro,Masculino,41,Branca,12,788,1.74030793
Rio de Janeiro,Masculino,27,Parda,12,2000,1.7916582680000002
Rio de Janeiro,Feminino,39,Preta,10,900,1.71391515
Rio de Janeiro,Masculino,32,Parda,12,1300,1.6455093180000002
Rio de Janeiro,Feminino,48,Parda,2,350,1.673760234
Rio de Janeiro,Feminino,60,Preta,7,1200,1.78449622
Rio de Janeiro,Masculino,29,Preta,9,1200,1.7245715119999998
Rio de Janeiro,Feminino,64,Preta,3,750,1.723769246
Rio de Janeiro,Masculino,36,Branca,6,1200,1.919249873
Rio de Janeiro,Feminino,53,Parda,16,788,1.68324251
Rio de Janeiro,Masculino,41,Branca,5,960,1.704808093
Rio de Janeiro,Masculino,56,Parda,16,1000,1.7103459540000001
Rio de Janeiro,Feminino,46,Branca,16,4800,1.696628125
Rio de Janeiro,Feminino,44,Preta,12,1800,1.6956581069999999
Rio de Janeiro,Masculino,24,Branca,16,5900,1.605123725
Rio de Janeiro,Masculino,33,Branca,12,2800,1.7634059619999998
Rio de Janeiro,Feminino,31,Parda,12,1000,1.753439692
Rio de Janeiro,Masculino,51,Parda,16,2000,1.679471495
Rio de Janeiro,Masculino,53,Preta,5,2500,1.542693716
Rio de Janeiro,Masculino,57,Parda,12,1600,1.565658059
Rio de Janeiro,Masculino,33,Parda,12,2300,1.5573856640000001
Rio de Janeiro,Masculino,40,Branca,12,1000,1.711660011
Rio de Janeiro,Masculino,30,Parda,9,788,1.56184481
Rio de Janeiro,Masculino,57,Branca,5,1100,1.7727829480000001
Rio de Janeiro,Masculino,47,Parda,8,924,1.689478365
Rio de Janeiro,Masculino,60,Branca,9,1600,1.697804745
Rio de Janeiro,Masculino,62,Parda,6,600,1.707240795
Rio de Janeiro,Masculino,32,Parda,12,2100,1.691321413
Rio de Janeiro,Masculino,49,Preta,3,900,1.72865429
Rio de Janeiro,Masculino,66,Preta,5,1200,1.8166965259999999
Rio de Janeiro,Feminino,49,Preta,8,788,1.7676940030000001
Rio de Janeiro,Masculino,49,Parda,8,788,1.702613155
Rio de Janeiro,Masculino,50,Preta,12,1600,1.689609315
Rio de Janeiro,Masculino,58,Branca,9,1000,1.728122989
Rio de Janeiro,Feminino,51,Branca,9,200,1.672194709
Rio de Janeiro,Feminino,61,Preta,1,15,1.680439021
Rio de Janeiro,Feminino,27,Preta,13,240,1.73375076
Rio de Janeiro,Masculino,55,Preta,9,788,1.814859255
Rio de Janeiro,Masculino,48,Preta,12,788,1.67360791
Rio de Janeiro,Feminino,48,Preta,9,788,1.737390728
Rio de Janeiro,Masculino,49,Parda,12,1200,1.776627577
Rio de Janeiro,Masculino,45,Parda,9,1200,1.861828183
Rio de Janeiro,Feminino,38,Branca,12,788,1.8468105940000001
Rio de Janeiro,Masculino,37,Preta,6,788,1.65757149
Rio de Janeiro,Masculino,22,Parda,7,900,1.674923109
Rio de Janeiro,Feminino,54,Branca,9,420,1.806546685
Rio de Janeiro,Masculino,52,Preta,12,1300,1.7186506000000001
Rio de Janeiro,Masculino,66,Branca,9,1000,1.722209425
Rio de Janeiro,Masculino,38,Branca,1,1570,1.725695684
Rio de Janeiro,Masculino,40,Parda,12,2000,1.5529818130000002
Rio de Janeiro,Masculino,28,Preta,12,788,1.66998235
Rio de Janeiro,Masculino,52,Preta,1,1000,1.594468021
Rio de Janeiro,Masculino,49,Parda,12,800,1.7049709180000001
Rio de Janeiro,Masculino,33,Preta,7,900,1.636983401
Rio de Janeiro,Masculino,23,Preta,12,500,1.6084331980000002
Rio de Janeiro,Masculino,38,Parda,12,1500,1.807668241
Rio de Janeiro,Masculino,58,Branca,7,2000,1.5853249790000001
Rio de Janeiro,Masculino,50,Parda,12,1000,1.7192922419999999
Rio de Janeiro,Masculino,29,Branca,12,1800,1.808262562
Rio de Janeiro,Feminino,49,Parda,16,788,1.607761397
Rio de Janeiro,Masculino,34,Preta,12,1000,1.670183714
Rio de Janeiro,Feminino,55,Parda,12,1200,1.732928399
Rio de Janeiro,Feminino,58,Preta,1,500,1.769415555
Rio de Janeiro,Feminino,59,Branca,12,300,1.610395524
Rio de Janeiro,Feminino,37,Branca,9,850,1.607774065
Rio de Janeiro,Masculino,30,Preta,12,1200,1.7961230019999999
Rio de Janeiro,Masculino,36,Parda,9,2500,1.744014975
Rio de Janeiro,Masculino,29,Parda,12,1400,1.7654165000000002
Rio de Janeiro,Feminino,38,Preta,9,1600,1.807803331
Rio de Janeiro,Masculino,60,Branca,4,1800,1.657717109
Rio de Janeiro,Feminino,63,Preta,5,800,1.6789159340000002
Rio de Janeiro,Masculino,44,Preta,12,1200,1.680535255
Rio de Janeiro,Masculino,53,Parda,12,300,1.776133385
Rio de Janeiro,Feminino,56,Preta,7,700,1.590545006
Rio de Janeiro,Masculino,60,Preta,8,2400,1.660573679
Rio de Janeiro,Masculino,60,Branca,13,3500,1.635192676
Rio de Janeiro,Feminino,57,Parda,1,0,1.570519142
Rio de Janeiro,Masculino,52,Preta,10,600,1.5834357490000002
Rio de Janeiro,Masculino,57,Parda,12,1088,1.8229329490000001
Rio de Janeiro,Masculino,34,Parda,10,1200,1.784309289
Rio de Janeiro,Masculino,37,Branca,4,1000,1.683786059
Rio de Janeiro,Masculino,33,Preta,4,500,1.777237461
Rio de Janeiro,Masculino,44,Parda,10,1500,1.674217389
Rio de Janeiro,Masculino,27,Branca,9,788,1.786759131
Rio de Janeiro,Masculino,51,Parda,9,1200,1.7714253169999998
Rio de Janeiro,Masculino,25,Preta,7,1500,1.6675708390000001
Rio de Janeiro,Masculino,41,Branca,9,1100,1.558917266
Rio de Janeiro,Masculino,25,Preta,9,980,1.714012593
Rio de Janeiro,Masculino,31,Preta,10,1050,1.765488315
Rio de Janeiro,Masculino,51,Branca,5,1050,1.892600025
Rio de Janeiro,Feminino,54,Parda,5,700,1.7880506040000002
Rio de Janeiro,Masculino,44,Parda,6,600,1.695381969
Rio de Janeiro,Masculino,41,Preta,6,790,1.652487857
Rio de Janeiro,Masculino,41,Parda,5,1400,1.891186874
Rio de Janeiro,Masculino,33,Parda,12,2300,1.560084066
Rio de Janeiro,Masculino,60,Preta,12,2000,1.58659461
Rio de Janeiro,Masculino,65,Parda,3,600,1.668345195
Rio de Janeiro,Masculino,54,Parda,12,900,1.738887585
Rio de Janeiro,Masculino,38,Parda,9,790,1.7676353830000002
Rio de Janeiro,Masculino,54,Parda,12,1370,1.786580464
Rio de Janeiro,Masculino,55,Parda,7,1800,1.798463565
Rio de Janeiro,Masculino,52,Parda,9,1300,1.814814677
Rio de Janeiro,Masculino,41,Branca,5,780,1.619549533
Rio de Janeiro,Masculino,59,Parda,12,2000,1.754747949
Rio de Janeiro,Masculino,52,Preta,6,790,1.6921640980000001
Rio de Janeiro,Masculino,61,Parda,5,1000,1.62765679
Rio de Janeiro,Masculino,55,Preta,6,1900,1.761322881
Rio de Janeiro,Masculino,42,Preta,11,800,1.7486047230000001
Rio de Janeiro,Masculino,36,Preta,12,2100,1.677196783
Rio de Janeiro,Feminino,71,Branca,1,400,1.658052352
Rio de Janeiro,Masculino,46,Parda,16,1000,1.787304043
Rio de Janeiro,Masculino,30,Parda,12,790,1.686321362
Rio de Janeiro,Masculino,30,Preta,12,1400,1.678505202
Rio de Janeiro,Masculino,48,Branca,11,2000,1.644839072
Rio de Janeiro,Feminino,47,Parda,9,800,1.719104147
Rio de Janeiro,Feminino,47,Preta,9,1200,1.666306464
Rio de Janeiro,Feminino,43,Preta,13,1100,1.6698340230000002
Rio de Janeiro,Masculino,26,Branca,12,850,1.6478328359999999
Rio de Janeiro,Feminino,46,Parda,12,800,1.6630288469999999
Rio de Janeiro,Masculino,44,Parda,12,900,1.732648745
Rio de Janeiro,Feminino,42,Parda,12,1000,1.7096994980000002
Rio de Janeiro,Feminino,49,Branca,12,1100,1.5651085219999998
Rio de Janeiro,Feminino,44,Preta,16,790,1.65428613
Rio de Janeiro,Masculino,36,Branca,12,1600,1.633150602
Rio de Janeiro,Masculino,41,Branca,12,1200,1.620467388
Rio de Janeiro,Masculino,52,Branca,16,3000,1.602730063
Rio de Janeiro,Masculino,45,Branca,12,1800,1.545935644
Rio de Janeiro,Masculino,48,Branca,12,1200,1.7957790340000002
Rio de Janeiro,Feminino,43,Parda,12,2500,1.81272685
Rio de Janeiro,Masculino,40,Parda,12,1400,1.613068221
Rio de Janeiro,Masculino,33,Parda,12,1200,1.772668141
Rio de Janeiro,Feminino,37,Preta,12,450,1.7504905830000002
Rio de Janeiro,Masculino,49,Parda,8,2200,1.773239056
Rio de Janeiro,Masculino,53,Preta,9,1800,1.742615465
Rio de Janeiro,Feminino,35,Branca,10,500,1.733478452
Rio de Janeiro,Feminino,57,Branca,15,1058,1.660022165
Rio de Janeiro,Feminino,52,Branca,16,2900,1.619462683
Rio de Janeiro,Masculino,29,Parda,9,750,1.623970891
Rio de Janeiro,Masculino,60,Branca,12,1400,1.712844706
Rio de Janeiro,Masculino,40,Parda,12,1200,1.8372195269999998
Rio de Janeiro,Feminino,47,Branca,5,300,1.713412326
Rio de Janeiro,Masculino,79,Parda,1,375,1.7150417919999998
Rio de Janeiro,Masculino,54,Branca,6,450,1.563528825
Rio de Janeiro,Masculino,54,Branca,12,5000,1.6485316419999998
Rio de Janeiro,Masculino,49,Parda,12,1250,1.7063729109999999
Rio de Janeiro,Masculino,34,Branca,16,20000,1.632446562
Rio de Janeiro,Feminino,43,Parda,16,4000,1.6872273919999998
Rio de Janeiro,Masculino,49,Branca,16,4000,1.660358065
Rio de Janeiro,Masculino,61,Branca,12,800,1.6874569019999999
Rio de Janeiro,Feminino,55,Parda,11,1000,1.600515324
Rio de Janeiro,Masculino,53,Branca,16,1300,1.6581989190000002
